name,has_test,address,created_at,insider_interview,alternate_url,employer,schedule,accept_temporary,professional_roles,experience,employment,salary_from,salary_to,requirement,responsibility
Разработчик DWH,False,null,2024-06-25 16:07,null,https://hh.ru/vacancy/102702011,WMT,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,Опыт <highlighttext>ETL</highlighttext>/ELT <highlighttext>разработки</highlighttext> от 2-х лет. Как преимущество: Опыт работы с Python. Опыт работы с Airflow. ,Проекты представляет собой оркестратор микрофронтендов на основе module federation и являются единой точкой входа и отображения доступных пользователю бизнес приложений...
Аналитик данных,False,Москва,2024-07-10 14:36,null,https://hh.ru/vacancy/103657997,Комус,"{'id': 'fullDay', 'name': 'Полный день'}",False,Продуктовый аналитик,От 1 года до 3 лет,Полная занятость,null,null,"Опыт работы в качестве дата-аналитика не менее 1.5 лет. Высшее экономическое или техническое образование. Знание математической статистики, умение...","Оценка потенциала внедрения новых и доработки существующих сервисных составляющих web продукта. Обработка данных и <highlighttext>ETL</highlighttext>. <highlighttext>Разработка</highlighttext> дэшбордов , автоматизация отчётов, настройка..."
Data Engineer,False,,2024-07-08 11:28,null,https://hh.ru/vacancy/91359354,"Центр-инвест, коммерческий банк","{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Опыт работы с Oracle, Clickhouse, Postgres. Опыт в <highlighttext>ETL</highlighttext> и знание Airflow. Опыт командной <highlighttext>разработки</highlighttext> с использованием GIT, CI\CD. ","Автоматизация ETL/ELT процессов. Подготовка и очистка данных с использованием Python, Apache Airflow. Работа по созданию источников, контроль за качеством..."
ETL Python Developer,False,null,2024-07-01 13:03,null,https://hh.ru/vacancy/103045406,Промэкспертиза,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Стек: Python (pandas, numpy, aiohttp), SQL (PostgreSQL, MS SQL). - уверенные знания SQL и опыт работы с базами данных (PostgreSQL, MS...","Наша IT команда развивает собственные продукты enterprise-уровня, обеспечивающие потребности наших заказчиков. Команда создаёт web-, desktop-, mobile-приложения c единым..."
Аналитик данных,True,Москва,2024-06-20 11:53,null,https://hh.ru/vacancy/102346701,"Согласие, страховая компания","{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 1 года до 3 лет,Полная занятость,null,null,"Высшее образование. Опыт в разработке BI-отчетов и дашбордов, ETL (знание и опыт работы с Visiology будем большим плюсом). ","Работать с реляционными базами данных с помощью PL/SQL Developer и SSMS; извлекать, очищать и формировать датасеты. Автоматизировать сбор и..."
Data инженер (разработчик DWH),False,Санкт-Петербург,2024-06-25 13:38,null,https://hh.ru/vacancy/102683501,Клевер Солюшнс,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Высшее образование. Опыт работы по функциональному направлению от 2 лет. Практический опыт работы с базами данных, написания сложных SQL запросов...",Развитие и поддержка хранилищ данных SQL Server и Greenplum. Разработка и поддержка интеграций c различными источниками данных на Informatica Developer. 
Data engineer,False,null,2024-06-17 08:16,null,https://hh.ru/vacancy/99071111,Лига Цифровой Экономики,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,Опыт промышленной разработки на реляционных СУБД (предпочтительно MPP). Опыт построения <highlighttext>ETL</highlighttext> потоков и <highlighttext>разработки</highlighttext> хранилищ данных. Работа с большими данными. ,Развитие хранилища данных на основе Hadoop. Разработка и изменение витрин данных на Hadoop исходя из требований. Создание алгоритмов загрузки данных...
Data Engineer / Data-инженер (WMS),False,null,2024-06-17 13:37,null,https://hh.ru/vacancy/102100974,WILDBERRIES,"{'id': 'fullDay', 'name': 'Полный день'}",True,"BI-аналитик, аналитик данных",От 1 года до 3 лет,Полная занятость,null,null,"Опыт разработки SQL-запросов для СУБД PostgreSQL (включая CTE и аналитические функции). Опыт написания хранимых процедур, триггеров, функций. ","Создание и доработка ETL процессов загрузки, трансформации данных и формирования витрин (<highlighttext>ETL</highlighttext>). <highlighttext>Разработка</highlighttext> и модернизация процедур контроля качества данных хранилища..."
Системный/бизнес аналитик (IRP/SOAR),False,null,2024-06-14 12:12,null,https://hh.ru/vacancy/101926493,СБЕР,"{'id': 'fullDay', 'name': 'Полный день'}",False,Аналитик,От 1 года до 3 лет,Полная занятость,null,null,Опыт проектирования прототипов пользовательских интерфейсов и UX-схем. 5. Опыт постановки задач на разработку <highlighttext>ETL</highlighttext>-процессов. 6. Опыт <highlighttext>разработки</highlighttext> запросов...,"Взглянуть на автоматизируемые процессы с разных сторон и выработать решение, отвечающее требованиям всех заинтересованных сторон. Сопроводить работу над решением от..."
ETL разработчик,False,null,2024-07-11 11:34,null,https://hh.ru/vacancy/103316424,Robusta,"{'id': 'flexible', 'name': 'Гибкий график'}",False,Другое,От 1 года до 3 лет,Полная занятость,null,null,Конвертация кода SQL из диалекта MsSQL на Greenplum. SQL. Greenplum. MSSQL.,
Разработчик DWH,False,null,2024-06-14 12:26,null,https://hh.ru/vacancy/98603152,АЙТИ.СПЕЙС,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,,300000,Опыт <highlighttext>ETL</highlighttext>/ELT <highlighttext>разработки</highlighttext> от 2-х лет. Опыт работы с Python. Опыт работы с Airflow. Опыт работы с Greenplum. ,"Развитие и сопровождение ETL/ELT процессов взаимодействия с БКИ.- Взаимодействие с внутренними заказчиками, системными аналитиками-экспертами других подразделений. "
Разработчик ETL (банковский проект),False,null,2024-06-17 09:48,null,https://hh.ru/vacancy/102068944,Лига Цифровой Экономики,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Опыт работы с ADB / postgresql. Опыт оптимизации SQL запросов, понимание особенностей стека. Знание методологии построения DWH. Понимание принципов ETL/ELT. ",Проводить анализ и разработку процедур загрузки данных в хранилище банка из систем источников средствами <highlighttext>ETL</highlighttext>. Выполнять <highlighttext>разработку</highlighttext> детальных слоев данных...
Руководитель разработки программного обеспечения по логистике,False,Москва,2024-06-16 15:17,null,https://hh.ru/vacancy/102024247,БОЛЬШАЯ ТРОЙКА,"{'id': 'fullDay', 'name': 'Полный день'}",False,Руководитель группы разработки,От 3 до 6 лет,Полная занятость,350000,500000,"Опыт работы с базами данных и системами управления данными (<highlighttext>ETL</highlighttext>). Опыт <highlighttext>разработки</highlighttext> и внедрения логистических систем управления складом (WMS), транспортом...","Вакансия: Руководитель разработки программного обеспечения по логистике. Управление командой разработчиков, тестировщиков и аналитиков для разработки и внедрения логистических решений. "
Аналитик данных,False,Москва,2024-06-17 21:49,null,https://hh.ru/vacancy/99671434,АНО Центр развития Среда возможностей,"{'id': 'fullDay', 'name': 'Полный день'}",False,"BI-аналитик, аналитик данных",От 1 года до 3 лет,Полная занятость,,210000,"Опыт работы с одной из СУБД (MSSQL, PostgreSQL). Опыт <highlighttext>ETL</highlighttext>-<highlighttext>разработки</highlighttext>. Уверенное знание SQL, анализ и оптимизация запросов. ","Разработка/мониторинг/оптимизация ETL-процессов между внутренними и внешними сервисами. Проектирование и оптимизация хранилища данных, витрин данных. Разработка и поддержка..."
Разработчик ETL,False,null,2024-07-08 11:59,null,https://hh.ru/vacancy/103492751,IBS,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Опыт разработки SQL/ETL, потоковые загрузки данных. Python, SQL, Airflow, Arenadata DB / Greenplum, REST API, Kafka, Git. Качественное выполнение требований...","Разработка ETL процессов с использованием SQL. Тестирование и внедрение ETL-процессов с использованием SQL, конвейера данных и ETL Framework."
Разработчик ETL,False,Санкт-Петербург,2024-07-05 18:43,null,https://hh.ru/vacancy/102623159,Нетрика Медицина,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,Опыт работы с ETL-инструментами. Понимание устройств реляционных СУБД - PostgreSQL. Уверенный уровень владения SQL. Базовые знания языков программирования (Python или...,Доработка <highlighttext>ETL</highlighttext>-процессов. <highlighttext>Разработка</highlighttext> отчетов. Участие в обсуждениях развития общей платформы. Взаимодействие с командой проекта.
Разработчик BI,False,null,2024-06-20 11:43,null,https://hh.ru/vacancy/102345658,Компания Мир упаковки,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,100000,150000,Высшее образование в области информационных технологий. Опыт работы с Power BI от 2х лет. Глубокое понимание инструмента. ,Проектирование и реализация витрин данных. Участие в разработке <highlighttext>ETL</highlighttext>-процессов. Участие в <highlighttext>разработке</highlighttext> и реализации style guide для отчетов. 
Разработчик ETL,False,null,2024-07-11 10:44,null,https://hh.ru/vacancy/103695285,IBS,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,null,null,"Опыт работы с хранилищами данных от 2 лет и понимание принципов их построения. Опыт разработки SQL/ETL, потоков загрузки данных. ","Проектирование, разработка, тестирование и внедрение ETL процессов с использованием SQL, конвейера данных и <highlighttext>ETL</highlighttext> Framework. Проектирование и <highlighttext>разработка</highlighttext> структур хранилища..."
"Разработчик/инженер данных, DWH банка",False,null,2024-06-13 18:45,null,https://hh.ru/vacancy/101882448,Газпромбанк,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,"Уверенные навыки работы с одной современной СУБД (GreenPlum, PostgeeSQL, MS SQL Server, Oracle, Teradata, и т.д.). — Хорошее знание SQL...","А так же для решения текущих задач и потребностей банка в DWH. Предстоит: —Разработка <highlighttext>ETL</highlighttext>/ELT. —<highlighttext>Разработка</highlighttext> детального слоя, витрин..."
Data Engineer,False,Рязань,2024-07-01 19:54,"{'id': '32978', 'url': 'https://hh.ru/interview/32978?employerId=78638'}",https://hh.ru/vacancy/103079548,Т-Банк,"{'id': 'fullDay', 'name': 'Полный день'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Свободно владеете SQL. Работали с DWH в качестве аналитика или разработчика минимум 2 года. Понимаете теорию СУБД- и ETL-процессов. ,Участвовать в формировании модели данных. Проектировать и разрабатывать витрины и потоки данных на основе потребностей бизнес-пользователей. Участвовать в проектах...
Разработчик систем отчетности (удаленно),False,null,2024-06-28 17:15,null,https://hh.ru/vacancy/100675775,Abi,"{'id': 'remote', 'name': 'Удаленная работа'}",False,"Программист, разработчик",От 3 до 6 лет,Полная занятость,null,null,Уверенные знания принципов и архитектур построения хранилищ данных и BI-систем. Опыт работы в качестве системного и/или бизнес-аналитика...,"Участие в разработке <highlighttext>ETL</highlighttext>-пакетов Integration Services. <highlighttext>Разработка</highlighttext> OLAP-кубов Analysis Services (Multidimensional или Tabular). Разработка дашбордов Power BI, отчетов..."
